S1,S2,S3,D
89,103,108,4
162,160,115,3
72,71,52,7
137,175,126,0
158,138,85,1
105,149,88,5
73,72,53,7
170,136,98,6
91,94,108,4
173,126,96,6
114,153,84,5
113,153,85,5
140,114,102,2
113,152,89,5
92,147,111,0
176,136,98,6
134,114,101,2
117,159,100,5
162,154,115,3
148,129,77,1
146,131,89,1
91,154,112,0
147,129,77,1
72,71,53,7
33,32,24,7
92,100,103,4
149,128,109,2
140,115,95,2
107,162,111,0
162,160,115,3
158,138,85,1
85,87,58,8
177,136,98,6
91,94,108,4
146,104,72,6
143,128,108,2
72,71,53,7
149,127,108,2
85,88,65,8
175,135,98,6
110,160,100,5
155,126,77,1
108,153,90,5
71,74,54,8
145,131,88,1
91,153,111,0
97,99,109,4
83,86,64,8
121,126,92,8
193,187,139,3
140,114,102,2
70,73,54,8
113,152,89,5
71,73,54,8
40,32,29,7
116,153,91,5
74,136,79,5
85,84,96,4
85,93,103,4
168,126,96,6
176,129,98,6
162,150,128,2
40,38,29,7
193,195,143,3
158,126,97,6
40,33,29,7
97,105,109,4
149,128,109,2
91,93,107,4
158,137,78,1
157,163,117,3
108,162,117,0
172,132,95,6
146,104,64,6
159,119,98,6
163,157,118,3
39,38,28,7
161,159,115,3
113,152,90,5
83,86,63,8
91,94,108,4
116,159,91,5
158,137,85,1
74,136,80,5
170,136,98,6
115,126,91,8
137,175,126,0
140,114,101,2
116,159,100,5
112,147,89,5
33,32,24,7
163,163,117,3
83,86,63,8
92,154,112,0
161,154,115,3
158,125,97,6
84,87,64,8
34,32,24,7
157,125,96,6
149,128,108,2
146,104,66,6
162,160,115,3
169,135,97,6
158,126,97,6
40,33,29,7
137,175,126,0
97,105,109,4
84,92,96,4
145,131,87,1
91,153,111,0
146,104,73,6
85,92,102,4
158,126,91,6
157,163,117,3
84,93,102,4
84,87,64,8
146,98,72,6
90,99,108,4
112,151,89,5
116,159,99,5
158,125,97,6
194,195,144,3
169,150,129,2
150,122,109,2
92,101,109,4
88,153,111,0
73,72,53,7
86,95,104,4
152,125,97,6
97,97,103,4
134,114,101,2
194,202,144,3
71,67,54,8
116,159,94,5
145,131,82,1
113,152,90,5
91,153,105,0
163,157,117,3
146,123,89,1
86,93,102,4
74,136,80,5
159,125,97,6
116,156,99,5
140,114,101,2
149,127,108,2
136,174,120,0
137,175,126,0
145,131,88,1
140,114,101,2
158,138,85,1
149,128,109,2
116,159,100,5
145,132,89,1
108,162,111,0
112,152,89,5
175,135,98,6
74,130,80,5
174,133,97,6
146,103,72,6
84,87,64,8
85,88,64,8
169,135,97,6
169,135,97,6
168,150,128,2
149,128,102,2
33,32,24,7
140,115,102,2
136,175,126,0
101,162,117,0
140,114,102,2
164,163,117,3
91,153,111,0
33,32,24,7
96,104,100,4
157,163,117,3
162,160,115,3
116,159,100,5
158,125,97,6
159,126,98,6
164,164,111,3
193,201,143,3
121,126,91,8
174,128,97,6
194,202,133,3
174,134,97,6
157,131,85,1
154,138,85,1
164,164,118,3
140,109,101,2
75,137,80,5
162,160,115,3
147,98,73,6
159,126,97,6
139,114,101,2
86,94,104,4
147,130,77,1
32,31,17,7
140,114,101,2
146,104,72,6
158,138,85,1
91,100,108,4
92,100,108,4
116,160,100,5
110,159,100,5
74,136,80,5
71,73,54,8
161,160,100,3
33,32,24,7
78,88,64,8
92,101,109,4
158,125,91,6
85,87,64,8
